,Time,Working Mode,V MPPT 1(V),I MPPT 1(A),Ua(V),I AC 1(A),F AC 1(Hz),Power(W),Temperature(℃),Generation Today(kWh),Total Generation(kWh),H Total(h)
0,10.01.2020 05:59:13,Wait,137.6,0.0,221.2,0.0,59.99,0,23.5,0.0,972.1,2481
1,10.01.2020 06:01:13,Wait,144.5,0.0,221.6,0.0,59.98,0,23.6,0.0,972.1,2481
2,10.01.2020 06:05:13,Wait,149.0,0.0,221.3,0.0,59.98,0,23.6,0.0,972.1,2481
3,10.01.2020 06:15:13,Wait,154.7,0.0,220.7,0.0,60.02,0,23.8,0.0,972.1,2481
4,10.01.2020 06:25:13,Normal,132.2,0.6,221.4,0.2,60.0,57,24.2,0.0,972.1,2481
5,10.01.2020 06:37:13,Normal,141.1,0.7,221.9,0.4,60.02,84,25.0,0.0,972.1,2481
6,10.01.2020 06:41:13,Normal,143.9,0.8,221.7,0.4,60.01,98,25.2,0.0,972.1,2481
7,10.01.2020 06:49:13,Normal,143.3,0.9,221.4,0.5,60.0,117,25.9,0.0,972.1,2482
8,10.01.2020 06:51:13,Normal,143.3,1.0,221.8,0.5,59.99,126,26.0,0.0,972.1,2482
9,10.01.2020 06:55:13,Normal,143.9,1.1,221.4,0.5,59.98,135,26.3,0.0,972.1,2482
10,10.01.2020 07:01:13,Normal,142.1,1.2,221.4,0.7,59.96,157,26.8,0.1,972.2,2482
11,10.01.2020 07:11:13,Normal,145.4,1.3,220.6,0.9,60.01,190,27.5,0.1,972.2,2482
12,10.01.2020 07:25:13,Normal,140.5,1.7,220.1,1.0,60.01,249,28.4,0.1,972.2,2482
13,10.01.2020 07:51:13,Normal,138.4,2.6,218.6,1.5,59.99,358,30.3,0.3,972.4,2483
14,10.01.2020 07:57:13,Normal,141.3,2.7,217.7,1.7,59.96,382,30.7,0.3,972.4,2483
15,10.01.2020 08:01:13,Normal,139.7,2.9,219.9,1.8,60.0,403,30.9,0.4,972.5,2483
16,10.01.2020 08:09:13,Normal,142.5,3.1,218.6,1.9,59.99,428,31.4,0.4,972.5,2483
17,10.01.2020 08:15:13,Normal,140.7,3.3,218.8,2.0,59.99,448,31.8,0.5,972.6,2483
18,10.01.2020 08:25:13,Normal,138.8,3.7,218.4,2.2,59.99,490,32.6,0.6,972.7,2483
19,10.01.2020 08:31:13,Normal,139.0,3.8,220.1,2.3,60.01,512,33.1,0.7,972.8,2484
20,10.01.2020 08:43:13,Normal,139.4,4.0,219.6,2.5,60.03,552,34.1,0.8,972.9,2484
21,10.01.2020 08:49:13,Normal,138.7,4.2,219.7,2.5,60.01,582,34.5,0.9,973.0,2484
22,10.01.2020 08:53:13,Normal,137.1,4.4,218.8,2.7,59.96,604,34.9,0.9,973.0,2484
23,10.01.2020 08:55:13,Normal,136.5,4.5,219.2,2.7,59.98,610,35.0,0.9,973.0,2484
24,10.01.2020 09:07:13,Normal,136.3,4.7,218.8,2.9,60.01,646,35.8,1.1,973.2,2484
25,10.01.2020 09:15:13,Normal,133.9,5.0,219.5,2.9,59.97,665,36.3,1.2,973.3,2484
26,10.01.2020 09:25:13,Normal,138.1,5.1,220.2,3.1,59.97,705,37.2,1.3,973.4,2485
27,10.01.2020 09:47:14,Normal,129.4,5.8,219.7,3.3,60.01,744,39.0,1.6,973.7,2485
28,10.01.2020 10:01:13,Normal,129.7,6.0,219.8,3.4,59.99,777,40.1,1.9,974.0,2485
29,10.01.2020 10:15:13,Normal,129.2,6.3,218.8,3.5,59.94,806,41.3,2.1,974.2,2486
30,10.01.2020 10:25:14,Normal,129.2,6.5,221.0,3.6,59.98,826,42.0,2.2,974.3,2486
31,10.01.2020 10:43:13,Normal,129.4,6.7,220.1,3.7,59.96,851,43.3,2.6,974.7,2486
32,10.01.2020 10:47:14,Normal,132.3,6.5,220.4,3.7,60.0,851,43.6,2.6,974.7,2486
33,10.01.2020 10:51:14,Normal,130.9,6.6,220.3,3.7,59.95,852,43.9,2.7,974.8,2486
34,10.01.2020 10:55:14,Normal,131.8,6.6,220.5,3.7,59.97,858,44.2,2.8,974.9,2486
