,Time,Working Mode,V MPPT 1(V),I MPPT 1(A),Ua(V),I AC 1(A),F AC 1(Hz),Power(W),Temperature(℃),Generation Today(kWh),Total Generation(kWh),H Total(h)
35,10.01.2020 11:03:14,Normal,128.3,6.8,220.4,3.7,60.06,856,44.8,2.9,975.0,2487
36,10.01.2020 11:07:13,Normal,129.5,6.8,220.3,3.8,60.0,863,45.0,3.0,975.1,2487
37,10.01.2020 11:11:14,Normal,129.2,6.8,220.2,3.8,60.01,865,45.2,3.0,975.1,2487
38,10.01.2020 11:25:14,Normal,127.4,6.9,219.8,3.8,60.02,867,46.2,3.3,975.4,2487
39,10.01.2020 11:41:14,Normal,128.1,6.9,220.4,3.8,60.02,876,46.9,3.6,975.7,2487
40,10.01.2020 11:59:14,Normal,130.5,6.7,219.8,3.8,60.06,870,47.8,3.9,976.0,2488
41,10.01.2020 12:03:14,Normal,130.2,6.8,220.4,3.8,60.04,871,47.8,3.9,976.0,2488
42,10.01.2020 12:07:14,Normal,127.2,6.9,220.2,3.8,60.02,869,48.1,4.0,976.1,2488
43,10.01.2020 12:11:14,Normal,126.7,7.0,219.8,3.8,60.01,867,48.2,4.1,976.2,2488
44,10.01.2020 12:15:14,Normal,128.1,6.8,219.5,3.8,59.95,861,48.3,4.2,976.3,2488
45,10.01.2020 12:25:14,Normal,125.6,6.8,219.4,3.7,59.99,851,48.7,4.3,976.4,2488
46,10.01.2020 12:39:14,Normal,128.9,6.6,219.6,3.6,59.98,839,49.1,4.6,976.7,2489
47,10.01.2020 12:41:14,Normal,129.3,6.5,219.3,3.6,60.0,832,49.1,4.6,976.7,2489
48,10.01.2020 12:49:14,Normal,129.9,6.3,219.4,3.6,60.01,816,49.4,4.7,976.8,2489
49,10.01.2020 12:55:14,Normal,129.8,6.3,219.4,3.5,59.97,809,49.5,4.8,976.9,2489
50,10.01.2020 13:01:14,Normal,125.8,6.5,219.5,3.5,59.94,801,49.7,4.9,977.0,2489
51,10.01.2020 13:07:14,Normal,126.9,6.3,219.7,3.4,59.97,795,49.8,5.0,977.1,2489
52,10.01.2020 13:11:14,Normal,126.8,6.3,220.2,3.4,59.94,790,49.8,5.1,977.2,2489
53,10.01.2020 13:15:14,Normal,127.9,6.2,219.7,3.4,59.94,784,49.8,5.2,977.3,2489
54,10.01.2020 13:25:14,Normal,127.1,6.1,218.7,3.4,60.0,769,49.8,5.3,977.4,2490
55,10.01.2020 13:37:14,Normal,128.5,5.8,219.0,3.3,59.96,741,49.6,5.5,977.6,2490
56,10.01.2020 13:59:14,Normal,133.5,5.3,222.8,3.0,59.97,707,49.0,5.8,977.9,2490
57,10.01.2020 14:03:14,Normal,133.2,5.2,222.1,3.0,59.99,694,48.9,5.9,978.0,2490
58,10.01.2020 14:05:14,Normal,134.8,5.1,222.3,3.0,60.01,689,48.7,5.9,978.0,2490
59,10.01.2020 14:11:14,Normal,128.8,5.2,221.8,2.9,60.02,670,48.5,6.0,978.1,2490
60,10.01.2020 14:25:14,Normal,137.0,4.6,221.7,2.8,60.0,635,48.0,6.2,978.3,2491
61,10.01.2020 14:37:14,Normal,133.3,4.5,221.4,2.7,59.99,604,47.4,6.3,978.4,2491
62,10.01.2020 14:47:14,Normal,135.3,4.2,221.3,2.5,59.96,577,46.6,6.4,978.5,2491
63,10.01.2020 14:57:14,Normal,136.0,3.9,221.4,2.4,59.98,527,45.5,6.6,978.7,2491
64,10.01.2020 15:03:14,Normal,136.2,3.8,221.6,2.2,60.02,508,45.1,6.6,978.7,2492
65,10.01.2020 15:07:14,Normal,137.9,3.7,222.0,2.2,60.01,494,44.7,6.7,978.8,2492
66,10.01.2020 15:15:14,Normal,139.6,3.4,222.5,2.0,60.0,465,43.8,6.7,978.8,2492
67,10.01.2020 15:25:14,Normal,136.4,3.2,221.7,1.9,59.97,432,43.0,6.8,978.9,2492
68,10.01.2020 15:35:14,Normal,140.0,2.8,222.1,1.7,60.0,388,42.0,6.9,979.0,2492
69,10.01.2020 15:45:14,Normal,139.7,2.5,221.9,1.5,60.0,353,41.3,7.0,979.1,2492
70,10.01.2020 15:57:14,Normal,140.5,2.1,221.6,1.3,59.96,310,40.4,7.1,979.2,2493
71,10.01.2020 16:03:15,Normal,141.3,2.0,221.9,1.2,59.94,288,39.9,7.1,979.2,2493
72,10.01.2020 16:05:15,Normal,140.7,1.9,222.1,1.2,59.92,280,39.7,7.1,979.2,2493
73,10.01.2020 16:11:14,Normal,141.3,1.7,220.3,1.0,60.01,256,39.3,7.1,979.2,2493
74,10.01.2020 16:25:14,Normal,139.1,1.4,219.9,0.9,59.99,193,38.3,7.2,979.3,2493
75,10.01.2020 16:35:15,Normal,135.1,1.2,219.8,0.7,59.97,161,37.6,7.2,979.3,2493
76,10.01.2020 16:41:15,Normal,140.1,1.0,219.4,0.6,60.01,143,37.3,7.3,979.4,2493
77,10.01.2020 16:57:15,Normal,140.6,0.8,220.7,0.4,60.05,99,36.3,7.3,979.4,2494
78,10.01.2020 17:01:15,Normal,140.6,0.7,218.5,0.4,59.98,87,36.1,7.3,979.4,2494
79,10.01.2020 17:09:15,Normal,134.8,0.7,218.4,0.3,60.0,73,35.5,7.3,979.4,2494
80,10.01.2020 17:11:15,Normal,134.8,0.7,219.1,0.2,59.97,69,35.3,7.3,979.4,2494
81,10.01.2020 17:25:15,Normal,131.3,0.5,219.6,0.2,60.0,47,34.5,7.3,979.4,2494
82,10.01.2020 17:31:15,Normal,127.3,0.4,220.3,0.1,60.03,39,34.2,7.3,979.4,2494
83,10.01.2020 17:35:15,Normal,125.0,0.3,220.1,0.1,59.98,35,33.9,7.3,979.4,2495
84,10.01.2020 17:47:15,Normal,128.0,0.2,217.5,0.1,60.03,23,33.2,7.4,979.5,2495
85,10.01.2020 17:51:15,Normal,126.2,0.1,217.1,0.1,60.0,20,33.0,7.4,979.5,2495
86,10.01.2020 17:57:15,Normal,125.0,0.0,217.3,0.1,60.02,16,32.6,7.4,979.5,2495
87,10.01.2020 18:01:15,Normal,125.9,0.0,216.2,0.0,60.01,13,32.4,7.4,979.5,2495
88,10.01.2020 18:07:15,Normal,122.9,0.0,216.2,0.0,59.98,12,32.1,7.4,979.5,2495
89,10.02.2020 05:57:14,Wait,139.3,0.0,219.6,0.0,60.03,0,24.8,0.0,979.5,2495
90,10.02.2020 06:01:14,Wait,142.7,0.0,219.1,0.0,60.0,0,25.0,0.0,979.5,2495
91,10.02.2020 06:05:14,Wait,147.1,0.0,219.0,0.0,59.99,0,25.0,0.0,979.5,2495
92,10.02.2020 06:11:14,Wait,151.2,0.0,218.7,0.0,59.98,0,25.2,0.0,979.5,2495
93,10.02.2020 06:25:14,Normal,138.6,0.5,219.6,0.2,60.0,53,25.5,0.0,979.5,2495
94,10.02.2020 06:31:14,Normal,135.2,0.7,219.4,0.2,60.0,65,25.9,0.0,979.5,2495
95,10.02.2020 06:43:14,Normal,136.0,0.8,219.1,0.4,59.98,90,26.6,0.0,979.5,2495
96,10.02.2020 06:45:14,Normal,137.9,0.8,219.3,0.4,60.0,95,26.8,0.0,979.5,2495
97,10.02.2020 06:51:14,Normal,140.4,0.9,219.9,0.4,60.01,107,27.1,0.0,979.5,2496
98,10.02.2020 06:59:14,Normal,137.6,1.0,220.0,0.5,59.96,127,27.8,0.0,979.5,2496
99,10.02.2020 07:05:14,Normal,139.1,1.1,219.3,0.6,59.98,147,28.2,0.0,979.5,2496
100,10.02.2020 07:11:14,Normal,137.8,1.3,219.9,0.7,59.95,161,28.7,0.1,979.6,2496
101,10.02.2020 07:17:14,Normal,140.4,1.3,220.3,0.8,59.98,180,29.0,0.1,979.6,2496
102,10.02.2020 07:25:14,Normal,142.3,1.5,218.2,0.9,60.01,207,29.6,0.1,979.6,2496
103,10.02.2020 07:39:15,Normal,141.4,1.9,218.1,1.2,59.9,274,30.7,0.2,979.7,2497
104,10.02.2020 07:49:14,Normal,139.8,2.2,218.5,1.4,60.01,316,31.5,0.2,979.7,2497
105,10.02.2020 07:51:15,Normal,139.8,2.3,218.2,1.4,60.01,324,31.6,0.3,979.8,2497
106,10.02.2020 07:59:15,Normal,136.5,2.6,218.8,1.5,60.03,352,32.2,0.3,979.8,2497
107,10.02.2020 08:01:15,Normal,141.3,2.5,218.8,1.5,60.0,353,32.3,0.3,979.8,2497
108,10.02.2020 08:05:14,Normal,138.2,2.7,218.6,1.6,59.97,369,32.5,0.3,979.8,2497
109,10.02.2020 08:13:15,Normal,135.5,3.0,218.0,1.8,59.97,399,33.2,0.4,979.9,2497
110,10.02.2020 08:17:15,Normal,138.8,3.0,217.3,1.8,59.97,411,33.6,0.4,979.9,2497
111,10.02.2020 08:25:15,Normal,138.5,3.3,218.6,2.0,59.96,447,34.1,0.5,980.0,2498
112,10.02.2020 08:41:15,Normal,133.5,3.9,218.9,2.2,59.98,499,35.5,0.7,980.2,2498
113,10.02.2020 08:51:15,Normal,131.2,4.1,219.5,2.4,60.01,531,36.3,0.8,980.3,2498
114,10.02.2020 08:59:15,Normal,132.8,4.2,219.2,2.5,59.96,552,37.1,0.9,980.4,2498
115,10.02.2020 09:09:15,Normal,131.7,4.5,220.8,2.6,59.97,594,37.9,1.0,980.5,2498
116,10.02.2020 09:11:15,Normal,135.0,4.4,220.6,2.7,59.94,603,38.2,1.0,980.5,2498
117,10.02.2020 09:25:15,Normal,132.3,4.8,219.8,2.8,59.97,635,39.6,1.2,980.7,2499
118,10.02.2020 09:33:15,Normal,129.8,5.1,219.7,2.9,60.02,655,40.4,1.3,980.8,2499
119,10.02.2020 09:35:15,Normal,128.2,5.2,219.3,2.9,60.0,665,40.7,1.3,980.8,2499
120,10.02.2020 09:45:15,Normal,129.2,5.4,219.0,3.0,60.02,693,41.8,1.4,980.9,2499
121,10.02.2020 09:51:15,Normal,128.6,5.5,219.4,3.1,60.01,699,42.5,1.5,981.0,2499
122,10.02.2020 10:01:15,Normal,126.7,5.7,219.8,3.1,59.99,711,43.7,1.7,981.2,2499
123,10.02.2020 10:07:15,Normal,129.8,5.5,219.1,3.2,59.98,712,44.3,1.8,981.3,2500
124,10.02.2020 10:17:15,Normal,127.7,5.8,218.8,3.3,59.98,733,45.5,1.9,981.4,2500
125,10.02.2020 10:25:15,Normal,125.5,6.0,219.8,3.3,59.98,749,46.5,2.0,981.5,2500
126,10.02.2020 10:35:15,Normal,130.1,5.8,220.5,3.4,59.97,759,47.5,2.2,981.7,2500
127,10.02.2020 10:45:15,Normal,126.9,6.1,220.3,3.4,60.0,773,48.3,2.3,981.8,2500
128,10.02.2020 10:51:15,Normal,125.6,6.2,220.8,3.4,60.01,776,48.8,2.4,981.9,2500
129,10.02.2020 10:55:15,Normal,127.9,6.1,220.0,3.4,60.0,781,49.1,2.5,982.0,2501
130,10.02.2020 11:01:15,Normal,127.5,6.2,220.4,3.4,60.04,784,49.5,2.6,982.1,2501
131,10.02.2020 11:13:15,Normal,127.2,6.2,219.9,3.4,60.01,787,50.3,2.8,982.3,2501
132,10.02.2020 11:25:15,Normal,125.0,6.4,218.6,3.4,59.99,791,51.0,3.0,982.5,2501
133,10.02.2020 11:37:15,Normal,126.5,6.3,220.8,3.4,59.98,794,51.8,3.2,982.7,2501
134,10.02.2020 11:41:15,Normal,126.8,6.3,220.6,3.4,59.98,796,52.0,3.2,982.7,2501
135,10.02.2020 11:47:15,Normal,126.2,6.4,220.8,3.4,59.99,798,52.3,3.3,982.8,2502
136,10.02.2020 11:57:15,Normal,126.5,6.4,221.1,3.4,60.0,807,52.6,3.5,983.0,2502
137,10.02.2020 12:07:15,Normal,129.7,6.4,221.0,3.5,60.0,820,52.7,3.6,983.1,2502
138,10.02.2020 12:13:16,Normal,129.3,6.2,221.2,3.5,59.98,803,52.7,3.7,983.2,2502
139,10.02.2020 12:15:15,Normal,129.9,6.2,221.3,3.5,59.96,805,52.7,3.8,983.3,2502
140,10.02.2020 12:25:15,Normal,129.1,6.3,221.5,3.4,60.0,804,52.7,3.9,983.4,2502
141,10.02.2020 12:33:15,Normal,125.6,6.4,221.2,3.4,60.03,803,52.6,4.1,983.6,2503
142,10.02.2020 12:41:16,Normal,127.3,6.3,220.8,3.4,60.0,799,52.4,4.2,983.7,2503
143,10.02.2020 12:45:16,Normal,126.1,6.3,220.7,3.4,59.98,791,52.4,4.3,983.8,2503
144,10.02.2020 12:55:15,Normal,130.8,5.9,220.9,3.4,59.97,776,52.1,4.4,983.9,2503
145,10.02.2020 13:07:15,Normal,127.6,5.9,221.0,3.3,59.97,751,51.7,4.6,984.1,2503
146,10.02.2020 13:25:16,Normal,128.1,5.6,220.0,3.2,59.94,720,51.2,4.9,984.4,2504
147,10.02.2020 13:31:16,Normal,129.1,5.6,219.9,3.2,60.0,717,50.9,5.0,984.5,2504
148,10.02.2020 13:39:16,Normal,132.1,5.5,219.0,3.2,59.98,719,50.4,5.1,984.6,2504
149,10.02.2020 13:41:16,Normal,131.9,5.4,218.6,3.2,60.0,714,50.2,5.1,984.6,2504
150,10.02.2020 13:49:16,Normal,134.0,5.1,218.6,3.0,60.0,686,49.9,5.2,984.7,2504
151,10.02.2020 13:55:16,Normal,133.6,5.0,218.4,3.0,60.04,672,49.6,5.3,984.8,2504
152,10.02.2020 14:11:16,Normal,132.0,4.8,218.6,2.8,60.0,637,49.4,5.5,985.0,2505
153,10.02.2020 14:15:16,Normal,133.2,4.7,218.4,2.7,59.97,626,49.3,5.6,985.1,2505
154,10.02.2020 14:25:16,Normal,130.7,4.5,218.0,2.6,59.99,591,49.0,5.7,985.2,2505
155,10.02.2020 14:33:16,Normal,130.6,4.2,218.3,2.4,60.0,548,48.8,5.8,985.3,2505
156,10.02.2020 14:55:16,Normal,130.6,3.7,218.5,2.2,60.03,475,48.5,6.0,985.5,2505
157,10.02.2020 15:07:16,Normal,134.1,3.4,218.6,2.0,60.0,443,48.0,6.1,985.6,2506
158,10.02.2020 15:15:16,Normal,131.4,3.2,218.3,1.8,59.97,418,47.5,6.2,985.7,2506
159,10.02.2020 15:25:16,Normal,133.4,2.9,218.3,1.7,59.97,388,46.9,6.3,985.8,2506
160,10.02.2020 15:33:16,Normal,135.9,2.6,218.5,1.5,59.98,363,46.3,6.3,985.8,2506
161,10.02.2020 15:35:16,Normal,136.5,2.6,218.2,1.5,60.0,355,46.3,6.3,985.8,2506
162,10.02.2020 15:41:16,Normal,133.8,2.5,219.0,1.4,60.03,335,46.0,6.4,985.9,2506
163,10.02.2020 15:47:16,Normal,136.4,2.2,219.0,1.3,60.02,310,45.6,6.4,985.9,2506
164,10.02.2020 15:57:16,Normal,135.0,2.0,220.4,1.2,60.02,276,45.1,6.5,986.0,2507
165,10.02.2020 16:07:16,Normal,132.3,1.7,221.0,1.0,60.01,245,44.4,6.5,986.0,2507
166,10.02.2020 16:11:16,Normal,133.2,1.6,220.4,0.9,60.0,212,44.1,6.6,986.1,2507
167,10.02.2020 16:15:16,Normal,135.8,1.5,219.0,0.9,60.0,201,43.9,6.6,986.1,2507
168,10.02.2020 16:25:16,Normal,134.3,1.2,219.1,0.7,59.97,166,43.1,6.6,986.1,2507
169,10.02.2020 16:33:16,Normal,135.9,1.1,220.1,0.6,60.01,144,42.6,6.6,986.1,2507
170,10.02.2020 16:41:16,Normal,131.1,1.0,219.7,0.5,60.02,123,42.1,6.7,986.2,2508
171,10.02.2020 16:45:17,Normal,131.1,0.9,219.8,0.4,60.01,113,41.9,6.7,986.2,2508
172,10.02.2020 16:51:16,Normal,132.7,0.8,219.6,0.4,60.0,100,41.5,6.7,986.2,2508
173,10.02.2020 16:57:16,Normal,134.1,0.7,219.6,0.3,60.03,85,41.1,6.7,986.2,2508
174,10.02.2020 17:01:16,Normal,137.8,0.7,219.7,0.3,60.07,76,40.8,6.7,986.2,2508
175,10.02.2020 17:05:16,Normal,132.7,0.6,220.3,0.3,60.06,71,40.4,6.7,986.2,2508
176,10.02.2020 17:15:17,Normal,128.3,0.5,218.7,0.2,60.0,56,39.7,6.7,986.2,2508
177,10.02.2020 17:25:16,Normal,128.5,0.4,218.7,0.2,59.99,43,39.0,6.7,986.2,2508
178,10.02.2020 17:31:16,Normal,124.9,0.4,219.2,0.1,60.01,36,38.7,6.7,986.2,2509
179,10.02.2020 17:40:21,Normal,126.8,0.3,218.9,0.2,60.02,28,38.1,0.0,979.5,2495
180,10.02.2020 18:02:21,Normal,124.6,0.0,220.0,0.0,60.0,13,36.5,0.0,979.5,2495
181,10.02.2020 18:06:21,Normal,123.2,0.0,219.1,0.0,59.98,13,36.2,0.0,979.5,2495
182,10.03.2020 06:25:16,Wait,142.2,0.0,219.1,0.0,60.01,0,26.2,0.0,979.5,2495
183,10.03.2020 06:31:16,Wait,135.5,0.0,219.2,0.0,60.0,0,26.3,0.0,979.5,2495
184,10.03.2020 06:45:16,Wait,146.4,0.0,220.2,0.0,60.04,0,26.5,0.0,979.5,2495
185,10.03.2020 06:55:16,Wait,152.1,0.0,219.5,0.0,60.01,0,26.5,0.0,979.5,2495
186,10.03.2020 07:01:16,Normal,127.5,0.5,220.1,0.2,60.0,49,26.5,0.0,979.5,2495
187,10.03.2020 07:15:16,Normal,138.7,0.6,220.2,0.2,60.03,66,27.3,0.0,979.5,2496
188,10.03.2020 07:25:16,Normal,141.0,0.9,219.8,0.4,60.01,109,27.9,0.0,979.5,2496
189,10.03.2020 07:43:16,Normal,136.5,0.8,219.0,0.4,60.0,89,29.2,0.0,979.5,2496
190,10.03.2020 07:49:16,Normal,144.2,0.8,219.0,0.4,60.03,97,29.3,0.1,979.6,2496
191,10.03.2020 07:51:16,Normal,140.6,0.9,219.1,0.4,60.04,101,29.5,0.1,979.6,2496
192,10.03.2020 08:01:16,Normal,140.0,0.9,218.9,0.5,60.0,115,29.9,0.1,979.6,2497
193,10.03.2020 08:25:17,Normal,138.5,1.0,218.2,0.5,60.05,120,30.6,0.1,979.6,2497
194,10.03.2020 08:31:17,Normal,141.6,1.3,218.7,0.7,59.95,171,30.7,0.2,979.7,2497
195,10.03.2020 08:37:17,Normal,140.9,1.1,217.9,0.6,59.95,143,31.0,0.2,979.7,2497
196,10.03.2020 08:51:17,Normal,134.4,0.8,218.0,0.4,60.02,93,31.0,0.2,979.7,2498
197,10.03.2020 09:11:17,Normal,132.7,0.7,217.3,0.2,59.99,67,30.8,0.2,979.7,2498
198,10.03.2020 09:25:17,Normal,135.3,0.7,217.0,0.2,60.0,67,30.8,0.3,979.8,2498
199,10.03.2020 09:41:17,Normal,143.4,1.1,217.6,0.7,60.0,153,31.0,0.3,979.8,2499
200,10.03.2020 09:47:17,Normal,136.9,1.1,217.6,0.5,59.97,131,31.1,0.3,979.8,2499
201,10.03.2020 09:51:17,Normal,137.4,0.9,217.0,0.4,60.0,101,31.2,0.3,979.8,2499
202,10.03.2020 10:03:17,Normal,138.8,1.1,217.0,0.5,59.99,130,31.2,0.3,979.8,2499
203,10.03.2020 10:07:17,Normal,137.5,0.9,217.3,0.5,60.01,112,31.2,0.4,979.9,2499
204,10.03.2020 10:11:17,Normal,131.2,1.0,217.3,0.5,59.94,114,31.2,0.4,979.9,2499
205,10.03.2020 10:17:17,Normal,138.3,1.0,217.3,0.5,59.99,127,31.3,0.4,979.9,2499
206,10.03.2020 10:25:17,Normal,141.0,1.5,216.9,1.0,59.94,211,31.5,0.4,979.9,2499
207,10.03.2020 10:31:17,Normal,140.3,2.6,217.5,1.6,59.99,369,31.9,0.4,979.9,2500
208,10.03.2020 10:41:17,Normal,136.0,3.7,218.8,2.2,59.97,491,33.1,0.5,980.0,2500
209,10.03.2020 10:45:17,Normal,140.3,2.8,218.8,1.7,60.0,387,33.5,0.6,980.1,2500
210,10.03.2020 10:51:17,Normal,139.3,2.6,218.3,1.5,60.01,357,33.6,0.6,980.1,2500
211,10.03.2020 10:55:17,Normal,143.6,2.8,218.2,1.7,60.01,400,33.7,0.6,980.1,2500
212,10.03.2020 11:01:17,Normal,137.9,2.0,217.6,1.2,59.98,280,33.8,0.7,980.2,2500
213,10.03.2020 11:05:18,Normal,140.3,1.8,217.7,1.1,60.04,267,33.8,0.7,980.2,2500
214,10.03.2020 11:25:17,Normal,137.0,1.0,216.9,0.5,59.99,118,33.7,0.8,980.3,2501
215,10.03.2020 11:35:17,Normal,137.0,0.9,217.1,0.4,59.97,97,33.2,0.8,980.3,2501
216,10.03.2020 11:51:17,Normal,137.6,0.9,217.2,0.4,60.03,97,32.7,0.8,980.3,2501
217,10.03.2020 11:57:17,Normal,130.8,0.9,216.8,0.4,60.03,106,32.5,0.9,980.4,2501
218,10.03.2020 12:03:17,Normal,138.3,0.9,217.9,0.4,60.01,100,32.4,0.9,980.4,2501
219,10.03.2020 12:15:17,Normal,139.2,1.0,217.1,0.5,60.0,122,32.3,0.9,980.4,2502
220,10.03.2020 12:25:17,Normal,139.6,1.1,217.9,0.7,60.02,150,32.3,0.9,980.4,2502
221,10.03.2020 12:31:17,Normal,136.4,1.0,217.5,0.5,59.99,119,32.2,0.9,980.4,2502
222,10.03.2020 12:35:17,Normal,129.1,0.8,217.7,0.4,60.0,99,32.2,0.9,980.4,2502
223,10.03.2020 12:43:18,Normal,131.5,1.1,217.9,0.6,60.0,135,32.0,1.0,980.5,2502
224,10.03.2020 12:45:18,Normal,139.5,0.9,217.6,0.5,60.01,117,32.1,1.0,980.5,2502
225,10.03.2020 12:55:18,Normal,143.0,1.2,218.3,0.7,60.03,163,32.0,1.0,980.5,2503
226,10.03.2020 13:03:18,Normal,136.6,0.9,218.9,0.4,60.0,97,32.0,1.0,980.5,2503
227,10.03.2020 13:07:18,Normal,136.7,0.9,218.6,0.4,60.0,96,31.8,1.0,980.5,2503
228,10.03.2020 13:13:18,Normal,136.6,1.0,219.3,0.5,59.98,134,31.8,1.0,980.5,2503
229,10.03.2020 13:25:17,Normal,139.4,0.9,219.3,0.4,60.0,108,31.8,1.1,980.6,2503
230,10.03.2020 13:33:18,Normal,143.1,1.0,218.6,0.5,60.0,121,31.7,1.1,980.6,2503
231,10.03.2020 13:35:18,Normal,141.0,0.9,217.9,0.5,59.98,116,31.7,1.1,980.6,2503
232,10.03.2020 13:51:18,Normal,143.1,0.8,218.4,0.4,59.99,89,31.5,1.1,980.6,2504
233,10.03.2020 13:55:18,Normal,138.7,0.7,217.4,0.3,59.99,78,31.5,1.1,980.6,2504
234,10.03.2020 14:01:18,Normal,133.4,0.6,218.4,0.2,59.99,63,31.4,1.1,980.6,2504
235,10.03.2020 14:05:18,Normal,133.9,0.7,218.6,0.2,60.0,67,31.2,1.1,980.6,2504
236,10.03.2020 14:11:18,Normal,135.0,0.6,218.0,0.2,59.98,57,31.1,1.2,980.7,2504
237,10.03.2020 14:15:18,Normal,132.1,0.6,218.1,0.2,59.99,58,30.9,1.2,980.7,2504
238,10.03.2020 14:25:18,Normal,135.5,0.6,218.6,0.2,60.0,64,30.6,1.2,980.7,2504
239,10.03.2020 14:31:18,Normal,136.3,0.6,218.3,0.2,60.01,60,30.5,1.2,980.7,2504
240,10.03.2020 14:39:18,Normal,137.6,0.6,218.5,0.2,60.03,63,30.4,1.2,980.7,2505
241,10.03.2020 14:53:18,Normal,129.4,0.5,218.8,0.2,59.98,56,30.1,1.2,980.7,2505
242,10.03.2020 14:57:18,Normal,139.1,0.5,219.4,0.2,60.07,53,30.0,1.2,980.7,2505
243,10.03.2020 15:03:18,Normal,130.6,0.5,219.2,0.2,59.98,51,30.0,1.2,980.7,2505
244,10.03.2020 15:05:18,Normal,137.6,0.5,219.1,0.2,59.99,52,29.9,1.2,980.7,2505
245,10.03.2020 15:17:18,Normal,131.5,0.5,219.2,0.2,59.98,48,29.7,1.2,980.7,2505
